alloc,,robots,,perm,,reason,,time
1,,[r3, r4, r5, r1],,[1, 2, 2, 286810],,noPlanSynthesised,,2501
1,,[r3, r4, r5, r1],,[1, 1, 1, 253829],,noPlanSynthesised,,2957
1,,[r3, r4, r5, r1],,[2, 1, 1, 349012],,noPlanSynthesised,,3431
1,,[r3, r4, r5, r1],,[1, 2, 2, 173762],,noPlanSynthesised,,3841
1,,[r3, r4, r5, r1],,[2, 2, 2, 206445],,noPlanSynthesised,,4301
1,,[r3, r4, r5, r1],,[1, 1, 2, 251048],,noPlanSynthesised,,4730
1,,[r3, r4, r5, r1],,[1, 1, 2, 347055],,noPlanSynthesised,,5135
1,,[r3, r4, r5, r1],,[1, 2, 1, 237941],,noPlanSynthesised,,5498
1,,[r3, r4, r5, r1],,[1, 2, 2, 243226],,noPlanSynthesised,,6073
1,,[r3, r4, r5, r1],,[1, 2, 1, 310136],,noPlanSynthesised,,6498
1,,[r3, r4, r5, r1],,[1, 1, 1, 135261],,noPlanSynthesised,,6957
1,,[r3, r4, r5, r1],,[2, 1, 1, 3795],,noPlanSynthesised,,7343
1,,[r3, r4, r5, r1],,[2, 1, 2, 205466],,noPlanSynthesised,,7709
1,,[r3, r4, r5, r1],,[1, 2, 2, 318135],,noPlanSynthesised,,8115
1,,[r3, r4, r5, r1],,[1, 2, 1, 224037],,noPlanSynthesised,,8501
1,,[r3, r4, r5, r1],,[2, 1, 2, 182954],,noPlanSynthesised,,8949
1,,[r3, r4, r5, r1],,[2, 2, 2, 319301],,noPlanSynthesised,,9314
1,,[r3, r4, r5, r1],,[2, 2, 1, 329027],,noPlanSynthesised,,9712
1,,[r3, r4, r5, r1],,[1, 1, 2, 166769],,noPlanSynthesised,,10068
1,,[r3, r4, r5, r1],,[1, 2, 1, 347116],,noPlanSynthesised,,10452
1,,[r3, r4, r5, r1],,[1, 2, 2, 126356],,noPlanSynthesised,,10848
1,,[r3, r4, r5, r1],,[2, 1, 1, 259103],,noPlanSynthesised,,11347
1,,[r3, r4, r5, r1],,[1, 2, 2, 98890],,noPlanSynthesised,,11722
1,,[r3, r4, r5, r1],,[1, 1, 2, 60714],,noPlanSynthesised,,12154
1,,[r3, r4, r5, r1],,[2, 2, 1, 275232],,noPlanSynthesised,,12490
1,,[r3, r4, r5, r1],,[1, 2, 1, 179434],,noPlanSynthesised,,13101
1,,[r3, r4, r5, r1],,[1, 2, 2, 263511],,noPlanSynthesised,,13502
1,,[r3, r4, r5, r1],,[2, 2, 1, 335507],,noPlanSynthesised,,13849
1,,[r3, r4, r5, r1],,[2, 1, 1, 190624],,noPlanSynthesised,,14346
1,,[r3, r4, r5, r1],,[2, 1, 2, 103653],,noPlanSynthesised,,14660
1,,[r3, r4, r5, r1],,[1, 2, 2, 78304],,noPlanSynthesised,,15059
1,,[r3, r4, r5, r1],,[1, 2, 2, 16888],,noPlanSynthesised,,15452
1,,[r3, r4, r5, r1],,[2, 2, 1, 249326],,noPlanSynthesised,,15782
1,,[r3, r4, r5, r1],,[2, 2, 2, 235377],,noPlanSynthesised,,16268
1,,[r3, r4, r5, r1],,[2, 2, 2, 158928],,noPlanSynthesised,,16581
1,,[r3, r4, r5, r1],,[2, 1, 1, 146506],,noPlanSynthesised,,17020
1,,[r3, r4, r5, r1],,[1, 1, 1, 293377],,noPlanSynthesised,,17387
1,,[r3, r4, r5, r1],,[1, 2, 2, 272013],,noPlanSynthesised,,17779
1,,[r3, r4, r5, r1],,[1, 1, 2, 282925],,noPlanSynthesised,,18260
1,,[r3, r4, r5, r1],,[1, 1, 1, 166425],,noPlanSynthesised,,18682
1,,[r3, r4, r5, r1],,[1, 2, 1, 272627],,noPlanSynthesised,,19034
1,,[r3, r4, r5, r1],,[1, 1, 1, 239963],,noPlanSynthesised,,19486
1,,[r3, r4, r5, r1],,[2, 2, 1, 238882],,noPlanSynthesised,,19797
1,,[r3, r4, r5, r1],,[2, 1, 2, 278934],,noPlanSynthesised,,20160
1,,[r3, r4, r5, r1],,[2, 2, 1, 66811],,noPlanSynthesised,,20538
1,,[r3, r4, r5, r1],,[1, 1, 2, 109211],,noPlanSynthesised,,20861
1,,[r3, r4, r5, r1],,[2, 1, 1, 355573],,noPlanSynthesised,,21307
1,,[r3, r4, r5, r1],,[1, 1, 1, 298769],,noPlanSynthesised,,21699
1,,[r3, r4, r5, r1],,[1, 1, 2, 344563],,noPlanSynthesised,,22085
1,,[r3, r4, r5, r1],,[1, 1, 1, 277038],,noPlanSynthesised,,22488
1,,[r3, r4, r5, r1],,[1, 1, 1, 206863],,noPlanSynthesised,,22905
1,,[r3, r4, r5, r1],,[2, 2, 1, 179578],,noPlanSynthesised,,23357
1,,[r3, r4, r5, r1],,[2, 1, 2, 204371],,noPlanSynthesised,,23693
1,,[r3, r4, r5, r1],,[1, 1, 2, 149907],,noPlanSynthesised,,24130
1,,[r3, r4, r5, r1],,[1, 2, 1, 10362],,noPlanSynthesised,,24610
1,,[r3, r4, r5, r1],,[1, 1, 1, 71395],,noPlanSynthesised,,25211
1,,[r3, r4, r5, r1],,[1, 1, 1, 245683],,noPlanSynthesised,,26178
1,,[r3, r4, r5, r1],,[2, 2, 1, 79851],,noPlanSynthesised,,26782
1,,[r3, r4, r5, r1],,[1, 1, 1, 332638],,noPlanSynthesised,,27460
1,,[r3, r4, r5, r1],,[1, 1, 1, 271868],,noPlanSynthesised,,27961
1,,[r3, r4, r5, r1],,[1, 2, 1, 223052],,noPlanSynthesised,,28377
1,,[r3, r4, r5, r1],,[1, 2, 1, 190712],,noPlanSynthesised,,28919
1,,[r3, r4, r5, r1],,[1, 2, 2, 160514],,noPlanSynthesised,,29354
1,,[r3, r4, r5, r1],,[1, 1, 2, 36757],,noPlanSynthesised,,30012
1,,[r3, r4, r5, r1],,[1, 1, 2, 154870],,noPlanSynthesised,,30434
1,,[r3, r4, r5, r1],,[1, 1, 2, 125849],,noPlanSynthesised,,30934
1,,[r3, r4, r5, r1],,[2, 2, 2, 64464],,noPlanSynthesised,,31311
